lobbyist_name,full_name
michael merola,robert torricelli
charla penn mcmanus,bill pascrell
shane doucet,christopher john
joseph gibson,lamar smith
amanda wood,bob graham
charlie harman,saxby chambliss
mike mckay,gregory meeks
lavita strickland legrys,dianne feinstein
ann jablon,richard neal
towner french,pete sessions
towner french,lincoln diaz-balart
towner french,judy biggert
luke hatzis,peter roskam
luke hatzis,david dennis
aaron cohen,john ensign
aaron cohen,richard bryan
drew goesl,mike ross
drew goesl,blanche lincoln
ivan zapien,robert menendez
sam geduldig,roy blunt
mike nielsen,robert bennett
jay cranford,bob barr
jay cranford,jim gibbons
jay cranford,john boehner
doug schwartz,john thune
john stipicevic,roy blunt
john stipicevic,eric cantor
john stipicevic,kevin mccarthy
juliane sullivan,todd akin
juliane sullivan,tom delay
juliane sullivan,anne northup
juliane sullivan,ed whitfield
mike freeman,mike lee
katie mitchell,paul cook
katie mitchell,devin nunes
lauren o'brien,geoff davis
louis agnello,martin heinrich
louis agnello,doris matsui
rohit kumar,mitch mcconnell
rohit kumar,william frist
rohit kumar,trent lott
ronald eritano,lloyd doggett
bob brooks,jim mccrery
bob brooks,jay dickey
sam adcock,trent lott
rodney whitlock,chuck grassley
eli greenspan,martin heinrich
mac campbell,blanche lincoln
nathaniel bell,robert andrews
david leiter,wendell ford
david leiter,john kerry
daniel wolf,jared huffman
cindy brown,ron kind
david urban,arlen specter
sean mcglynn,barbara mikulski
greg louer,charles norwood
sara linder,steve driehaus
virginia h. johnson,dan benishek
virginia h. johnson,hamilton fish
stephen northrup,michael enzi
stacey rampy,anna eshoo
stacey rampy,robert torricelli
lindsay austin,lynn westmoreland
tom tilton,betty sutton
helen tolar,john boozman
christopher baxter,robert menendez
michael woody,marion berry
andrew hawkins,mike rogers
kelly childress,john shimkus
robert bissen,robert kasten
jamie jones,matthew martinez
susan ramthun,william frist
judithh gorsuch,jon kyl
patrick cavanagh,tim holden
alexander sternhell,craig james
mike ahern,edward royce
mike ahern,bob corker
kristin m. smith,denny rehberg
kristin m. smith,olympia snowe
kristin m. smith,conrad burns
frank mccarthy,sue kelly
jeffrey walter,alfonse d'amato
jeffrey walter,connie mack
ethan pittleman,kurt schrader
thomas culligan,frank wolf
thomas culligan,thomas petri
john czerwinski,frank wolf
ludmilla savelieff,mike dewine
jennifer ortega,todd rokita
kathryn branson,lou barletta
david stratton edwards,john sullivan
david stratton edwards,tom cole
william steve southerland,steve southerland
jeff mortier,ed whitfield
jeff mortier,devin nunes
sarah walter,john breaux
kristen walsh,charles schumer
kristen walsh,hillary clinton
kristen walsh,kirsten gillibrand
don smith,tom bevill
callie hickox,john breaux
jamie tucker,anne northup
sam olswanger,daniel webster
b. keith heard,thad cochran
jay heimbach,sherrod brown
matt leffingwell,jon porter
scott leezer,richard durbin
paul a. howard,susan collins
elizabeth lee,tammy baldwin
brian diffell,roy blunt
charles cooper,adam putnam
charles cooper,mario diaz-balart
charles cooper,felix grucci
charles cooper,jon kyl
charles cooper,connie mack
nadeam elshami,nancy pelosi
nadeam elshami,richard durbin
nadeam elshami,janice schakowsky
brian dean,craig james
jason tai,william lipinski
langston emerson,michael capuano
langston emerson,carolyn kilpatrick
roger gwinn,vic fazio
stephanie missert,kirsten gillibrand
andrew lewin,dennis moore
andrew lewin,max sandlin
brent del monte,tom bliley
robb walton,michael enzi
christopher matthiesen,suzanne kosmas
christopher matthiesen,nick lampson
erskine wells,roger wicker
erskine wells,steven palazzo
julia d'hemecourt,steve scalise
julia d'hemecourt,vance mcallister
allison trexler,ed whitfield
jennifer castagna,arlen specter
norma jane sabiston,mary landrieu
norma jane sabiston,john breaux
zach monroe,mary landrieu
sheryl cohen,christopher dodd
matt mcalvanah,patty murray
robert lehman,rob portman
robert lehman,larry combest
timothy martin,scott tipton
theodore bornstein,les aspin
edward krenik,dean gallo
carolyn gluck,harry reid
aryana khalid,mark warner
brian gaston,richard armey
brian gaston,john boehner
brian gaston,roy blunt
steven boms,gary ackerman
doyle bartlett,bill mccollum
chris mccannell,paul kanjorski
chris mccannell,steny hoyer
chris mccannell,michael mcmahon
chris mccannell,joseph crowley
travis johnson,david vitter
travis johnson,john shadegg
travis johnson,tom price
greg mesack,wally herger
bradford cheney,brad sherman
bradford cheney,hillary clinton
a. bradford card,john sweeney
shawna francis watley,j. kerrey
joel johnson,howard metzenbaum
andrew king,lindsey graham
christina brown,bob casey
christina brown,arlen specter
edward cox,orrin hatch
neal martin,max cleland
r. neal martin,max cleland
allison nyholm,lisa murkowski
will hollier,mike crapo
keith nelson,pete domenici
daniel mcfaul,jeff miller
daniel mcfaul,matt gaetz
sarah egge,j. kerrey
joe onek,nancy pelosi
irene bueno,edward roybal
irene bueno,alan cranston
gregory d. burns,darlene hooley
robert van heuvelen,kent conrad
stephen ward,jeff bingaman
dan elling,nancy johnson
dan elling,jim ramstad
joshua andrews,anna eshoo
joshua andrews,barbara boxer
jackson spivey,mark begich
jennifer latourette,steven latourette
jennifer latourette,robert borski
jennifer latourette,max baucus
matt henken,ed perlmutter
matt henken,mark udall
clint robinson,john linder
hunter moorhead,thad cochran
matt wise,mary fallin
matt wise,conrad burns
bravo matt,steve scalise
bravo matt,eric cantor
lindsey craig,dave weldon
lindsey craig,mike pence
michael torrey,nancy kassebaum
michael torrey,sheila frahm
barbara patterson,bill nelson
seam mcglynn,barbara mikulski
d. patrick robertson,john rockefeller
ludmilla kasulke (nee savelieff),mike dewine
eric rosen,anthony weiner
katie wise,vern buchanan
katie wise,mary fallin
patrice willoughby,barbara lee
don kent,ron johnson
don kent,thomas ridge
don kent,don nickles
jeff choudhry,trent franks
robert taylor,john thune
robert taylor,don nickles
scott graves,k. conaway
scott graves,blake farenthold
mike ference,eric cantor
eric anthony,rosa delauro
barry bennett,jean schmidt
jesse appleton,jim talent
jeff markey,doc hastings
jeff markey,jack metcalf
melissa gierach,charles boustany
melissa gierach,dennis ross
melissa gierach,john sullivan
melissa gierach,cliff stearns
melissa gierach,dana rohrabacher
todd metcalf,ron wyden
todd metcalf,william jefferson
sara franko,ted strickland
elizabeth greer,allen boyd
richard murphy,kelly ayotte
wesley ryan welch,richard shelby
dora hughes,edward kennedy
dora hughes,barack obama
jason rosenstock,tom lantos
jason rosenstock,robert weygand
andy keiser,mike rogers
ado machida,dick cheney
jeffery mortier,ed whitfield
jeffery mortier,devin nunes
jeff mackinnon,joe barton
matthew schlapp,todd tiahrt
andrew barbour,bart stupak
jack s. deuser,jim bunning
trevor kolego,chris cannon
trevor kolego,jon porter
trevor kolego,john boehner
summer mersinger,john thune
eric love,melvin watt
cliff roberti,randy neugebauer
allison f. kassir,paul mchale
lisa mortier,sue myrick
john herzog,lamar alexander
ryan mulvenon,harry reid
ray cole,richard shelby
joshua raymond,christopher murphy
jeffrey stoltzfoos,rick santorum
jeffrey stoltzfoos,jeb hensarling
james sartucci,trent lott
andrew mckechnie,norm coleman
andrew mckechnie,jim ramstad
lori denham,calvin dooley
lori denham,darlene hooley
jason mckitrick,john kasich
jenny rosenberg,russell feingold
malloy mcdaniel,mitch mcconnell
malloy mcdaniel,trent lott
shimon stein,eric cantor
shimon stein,john ashcroft
shimon stein,robert aderholt
jennifer walsh,dennis cardoza
jennifer walsh,vic fazio
jim frogue,kay granger
jim frogue,jay kim
brandon clark,nathan deal
krista drobac,richard durbin
amy carnevale,george nethercutt
stuart chapman,carolyn mccarthy
stuart chapman,zachary space
stuart chapman,john rockefeller
stuart chapman,barbara lee
warren tryon,spencer bachus
john mulligan,adam smith
mark aitken,frank lobiondo
jared rifis,harry reid
david spooner,sue myrick
david spooner,wes cooley
brandt hershman,steve buyer
michael wessel,richard gephardt
julie hrdlicka,mark dayton
william smith,mike pence
kenneth cunningham,chuck grassley
landon stropko,michael enzi
landon stropko,cynthia lummis
landon stropko,barbara cubin
michael hettinger,tom davis
john williams,christopher john
j. david grossman,james clyburn
j. david grossman,anna eshoo
j. david grossman,daniel inouye
jan fowler,george voinovich
kelli briggs,patrick tiberi
stacey alexander,jim matheson
hap rigby,jim demint
sarah blackwood,jerry costello
emily kirlin,john cornyn
emily kirlin,jon kyl
emily kirlin,lamar alexander
kate rose,allyson schwartz
kate rose,john rockefeller
kristin welsh,orrin hatch
kristin welsh,james jeffords
elizabeth gore,byron dorgan
elizabeth gore,chet edwards
elizabeth maier,jon kyl
jana denning,bob clement
jana denning,john olver
jana denning,dennis moore
jason larrabee,hamilton fish
jason larrabee,jeff denham
jason larrabee,john doolittle
grant leslie,thomas daschle
grant leslie,ken salazar
joel leftwich,pat roberts
joel leftwich,craig james
greg mastel,max baucus
c. towner french,pete sessions
c. towner french,lincoln diaz-balart
c. towner french,judy biggert
david myers,pete domenici
scott aliferis,fred upton
amanda bunning kelsey,mitch mcconnell
dave larson,william frist
dave larson,harris fawell
adam bordes,louis stokes
adam bordes,william clay
bill viney,scott klug
jon bouker,eleanor norton
laura morgan-kessler,dianne feinstein
mitch vakerics,renee ellmers
alexander g. nock,matthew martinez
sean o'shea,hillary clinton
kate dickens,mark kirk
kate dickens,michael castle
charles thomas,robert pittenger
shara aranoff,max baucus
timothy yehl,frank lautenberg
timothy yehl,frank pallone
judith gorsuch,jon kyl
scott brenner,e. shaw
scott brenner,bill mccollum
lindsey ledwin,olympia snowe
lindsey ledwin,susan collins
rob seidman,kelly ayotte
rob seidman,marsha blackburn
rob seidman,bob riley
noe garcia,william frist
patrick cooney,dick swett
layth elhassani,michael bennet
layth elhassani,nydia velazquez
layth elhassani,maria cantwell
isaac brown,janice schakowsky
paul kavinoky,george nethercutt
paul kavinoky,richard pombo
marne marotta,john barrasso
marne marotta,kelly ayotte
sebastien lasseur,charles schumer
kristen o'neill,gene green
jeremy rabinovitz,lois capps
jeremy rabinovitz,walter capps
jeremy rabinovitz,carolyn maloney
jeremy rabinovitz,stephen solarz
daris d. meeks,jeb hensarling
david stewart,john boehner
francis grab,xavier becerra
francis grab,robert matsui
stephen francis,john kasich
weston coulam,orrin hatch
jeff forbes,max baucus
cindy brown,bart stupak
josh rubin,mike dewine
heather smith,nathan deal
zachary israel,robert scott
zachary israel,scott murphy
zachary israel,rush holt
austin harrison,gregg harper
austin harrison,thad cochran
noelle lundberg,bill archer
mike lanza,cathy mcmorris
matt pearce,earl pomeroy
elizabeth frazee,bob goodlatte
elizabeth frazee,tom bliley
sarah dumont-merchak,bill mccollum
sarah dumont-merchak,bob barr
debra dixon,xavier becerra
arielle giordano,andy harris
robert wasinger,sam brownback
rachel stauffer,diana degette
rachel stauffer,john tierney
brad gentile,john katko
brad gentile,christopher gibson
brad gentile,john boehner
laura johnson,robert bennett
laura johnson,james hansen
marty paone,barack obama
kodiak hill-davis,nancy johnson
moses mercado,richard gephardt
todd novascone,jerry moran
geoffrey gradler,tom delay
theodore b. schroeder,christopher coons
michael rogers,frank pallone
michael rogers,jack reed
henry altman,barbara comstock
donna mullins,dean gallo
clarence williams,kendrick meek
omar franco,mario diaz-balart
erik olson,ron kind
michael spira,carolyn mccarthy
michael spira,ed perlmutter
michelle seger,alexander mooney
michelle seger,chuck grassley
michael scrivner,norman lent
peter a. leon,eliot engel
mary schley,susan collins
sarah vilms,barbara kennelly
sarah vilms,joseph lieberman
matt bormet,ron wyden
william morley,arlen specter
"melissa ""missy"" edwards",thad cochran
michael barbera,curt weldon
cesar conda,marco rubio
susan nelson,john mccain
toby short,ernest hollings
toby short,byron dorgan
todd tuten,michael bilirakis
heide bajnrauh,john mccain
rob ehrich,evan bayh
neely silbey,patty murray
julie philp,john campbell
julie philp,gil gutknecht
julie philp,michael burgess
julie philp,constance morella
julie philp,ileana ros-lehtinen
pat bousliman,max baucus
jamie wall,roy blunt
jamie wall,christopher bond
edward hild,lisa murkowski
alexander sternhell,james maloney
alexander sternhell,bill orton
alexander sternhell,marion berry
phil goldfeder,charles schumer
patricia deloatche,orrin hatch
jodie curtis,thomas barrett
sarah mills,chuck grassley
sarah mills,arlen specter
nicolas muzin,ted cruz
nicolas muzin,tim scott
jeff burton,eric cantor
bryce dustman,david reichert
bryce dustman,heather wilson
bryce dustman,philip crane
daniel graver,gabrielle giffords
scott corley,james rogan
brookley valencia,luther strange
mike dubois,christopher bond
ali davidson,carlos curbelo
mary stanton,herb kohl
mary stanton,anthony weiner
mary stanton,richard gephardt
"israel ""izzy"" klein",charles schumer
darin gardner,kay granger
darin gardner,tim hutchinson
andrew shore,bill archer
jim jochum,chuck grassley
robin weisman,howard metzenbaum
jason isakovic,george voinovich
shane goettle,john hoeven
donald larson,john hoeven
matt mcginley,tom price
matt mcginley,brian kerns
brendan dunn,orrin hatch
allen jamerson,eric cantor
allen jamerson,bob goodlatte
angela ambrose,john peterson
nigel a. stephens,yvette clarke
nigel a. stephens,john kerry
nigel a. stephens,albert wynn
michael galano,dick zimmer
lauri hettinger,george voinovich
lauri hettinger,norm coleman
lauri hettinger,strom thurmond
heather meade,patty murray
andrew littman,barbara boxer
andrew littman,al franken
lauren bazel,maria cantwell
lauren bazel,john kerry
lauren bazel,william cowan
j. michael hogan,ben nelson
tom quinn,peter visclosky
cheryl jaeger,eric cantor
melanie lehnhardt,jeff flake
john mulligan,christopher john
barrett thornhill,mike crapo
barrett thornhill,pat toomey
sloane skinner carlough,rand paul
derek ross,tom cole
dee buchanan,jeb hensarling
tucker shumack,johnny isakson
david thompson,david dennis
david thompson,j. hastert
stephen peranich,gene taylor
emmett o'keefe,ron klink
emmett o'keefe,byron dorgan
brett o'brien,jim bates
brett o'brien,richard gephardt
susan brophy,byron dorgan
cont. cont.,harry reid
eriade williams,robert brady
eriade williams,albert wynn
brad mollet,tim johnson
brad mollet,jim matheson
brad mollet,betsy markey
michelle staton,tom coburn
michelle staton,marco rubio
patrick martin,evan bayh
j. daniel walsh,wayne gilchrest
j. daniel walsh,jack buechner
robert bradner,christopher john
randa fahmy,spencer abraham
katherine vanlandingham,sam brownback
leslie pollner,suzanne kosmas
leslie pollner,tim mahoney
lisa barkovic,mark foley
stoney burke,will hurd
stoney burke,chet edwards
gabriel neville,joseph pitts
michael davis,jeff sessions
kimberly linthicum,bob franks
kimberly linthicum,charles taylor
travis lucas,john carter
lori harju,kevin brady
lori harju,philip crane
joshua novotney,pat toomey
steven haro,dianne feinstein
steven haro,martin heinrich
steven haro,xavier becerra
helen tolar,jeff miller
david crane,daniel coats
al simpson,mick mulvaney
jennifer dale,jason altmire
jennifer dale,mike thompson
julie eddy rokala,doris matsui
nicole diresta,daniel inouye
rachel miller,dianne feinstein
derrick white,orrin hatch
daniel tate,hillary clinton
sander lurie,frank lautenberg
sander lurie,debbie stabenow
natascha cumberlidge,john tierney
tyler roberts,dan sullivan
tyler roberts,jeff fortenberry
tyler roberts,joe barton
tyler roberts,roy blunt
george caram,kevin mccarthy
ed krenik,dean gallo
elizabeth burks,blanche lincoln
elizabeth burks,jim turner
leslie belcher,tom cole
leslie belcher,wes watkins
michael zehr,george lemieux
michael zehr,mitch mcconnell
james jochum,chuck grassley
emily vaughan,mark sanford
patrick foley,sherwood boehlert
gary palmquist,dennis cardoza
gary palmquist,bob clement
gary palmquist,ken bentsen
kerri talbot,robert menendez
israel klein,charles schumer
mike ference,roy blunt
alexander lurie,frank lautenberg
alexander lurie,debbie stabenow
john russell,david dennis
john russell,j. hastert
john russell,tom delay
georgette sierra,carolyn mccarthy
matt bormet,rick larsen
justin mccarthy,thomas ewing
aissa canchola,barbara boxer
brett thompson,jim talent
chandler morse,jeff flake
ruth hazdovac,devin nunes
john gilliland,blanche lincoln
michael zehr,mel martinez
michael zehr,tim hutchinson
patrick raffaniello,bill brewster
kelly lange,john shimkus
amy andryszak,jim matheson
kelsey gorman,john barrasso
kelsey gorman,darin lahood
madeleine pike,albio sires
gabe neville,joseph pitts
rob mangas,wendell ford
bob siggins,earl pomeroy
karen williams,bob goodlatte
karen williams,steve southerland
karen williams,adam putnam
karen williams,charles canady
james reid,john rockefeller
james reid,max sandlin
james reid,paul kanjorski
marc scheineson,willis gradison
peter j. eckrich,mike rounds
peter j. eckrich,kristi noem
angela ebiner,zoe lofgren
katherine flocken,rob portman
justin rzepka,john ensign
blaine nolan,mike quigley
blaine nolan,chris van
elizabeth thompson,baron hill
elizabeth thompson,melissa bean
elizabeth thompson,john carney
sudafi henry,major owens
sudafi henry,emanuel cleaver
sudafi henry,steny hoyer
jeffrey goff,joe knollenberg
matt hoffmann,fernand st
matt hoffmann,david vitter
matt hoffmann,paul ryan
remy brim,patty murray
remy brim,elizabeth warren
karissa willhite,robert menendez
phillip bianchi,arlen specter
andrew palmer,charles fleischmann
